IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
50.18.25.238,443,443,TRUE,SJC,North America,US,San Jose,160,12.23
204.110.220.187,80,443,TRUE,SJC,North America,US,San Jose,155,10.97
204.110.220.74,80,443,TRUE,SJC,North America,US,San Jose,179,10.84
204.110.220.68,80,443,TRUE,SJC,North America,US,San Jose,156,10.31
54.241.79.250,80,443,TRUE,SJC,North America,US,San Jose,156,10.01
67.226.221.227,443,443,TRUE,SJC,North America,US,San Jose,158,9.26
43.153.105.7,443,443,TRUE,SJC,North America,US,San Jose,163,8.98
204.110.220.186,80,443,TRUE,SJC,North America,US,San Jose,155,8.3
67.226.221.48,80,443,TRUE,SJC,North America,US,San Jose,178,7.62
38.148.254.137,50042,443,TRUE,SJC,North America,US,San Jose,160,6.33
